Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2016010000379,2,1,1,1,32,6,3,0,0,0,0,0,1,1,2
2016010000380,1,1,1,1,22,5,3,0,0,0,0,0,1,-1,-1
2016010000381,1,1,1,1,24,5,3,0,0,0,0,0,3,1,3
2016010000383,1,1,1,1,37,7,3,0,0,0,0,0,5,1,10
2016010000384,1,1,2,2,20,4,3,0,0,0,0,0,19,-1,-1
2016010000386,2,1,1,2,64,9,3,0,0,0,0,0,9,1,2
2016010000388,1,1,3,2,81,11,2,5,1,0,0,2,0,1,7
2016010000389,1,1,1,1,49,8,3,0,0,0,0,0,9,1,3
2016010000390,1,1,3,1,90,11,3,5,1,0,0,2,0,1,5
2016010000391,2,1,1,1,41,7,2,0,0,0,0,0,3,1,7
2016010000392,1,1,1,1,22,5,3,0,0,0,0,0,9,1,2
2016010000392,2,2,1,1,35,6,3,0,0,0,0,0,9,1,8
2016010000393,1,1,1,1,23,5,3,0,0,0,0,0,9,1,-1
2016010000394,1,1,3,1,21,5,2,9,9,0,0,2,0,1,3
2016010000395,1,1,1,1,33,6,2,0,0,0,0,0,4,3,-1
2016010000396,1,1,3,1,59,9,3,10,9,0,0,2,0,1,3
2016010000397,1,1,1,1,23,5,3,0,0,0,0,0,3,1,5
2016010000398,1,1,1,1,24,5,3,0,0,0,0,0,9,1,9
2016010000398,2,2,1,2,40,7,3,0,0,0,0,0,9,1,6
2016010000398,2,3,2,1,9,2,3,0,0,1,0,0,9,-1,-1
2016010000398,2,4,2,1,9,2,3,0,0,2,0,0,9,-1,-1
2016010000399,1,1,1,1,41,7,3,0,0,0,0,0,1,1,1
2016010000400,2,1,1,1,32,6,3,0,0,0,0,0,3,1,4
2016010000401,1,1,1,1,45,7,3,0,0,0,0,0,9,1,2
2016010000402,1,1,1,1,31,6,3,0,0,0,0,0,3,1,2
2016010000403,1,1,1,1,33,6,3,0,0,0,0,0,90,1,-1
2016010000403,2,2,1,1,66,10,2,0,0,0,0,0,9,1,-1
2016010000405,1,1,2,2,35,6,3,0,0,0,3,0,11,1,4
2016010000405,1,2,2,2,43,7,3,0,0,0,3,0,11,1,1
2016010000406,1,1,2,2,53,8,3,0,0,0,3,0,11,1,7
2016010000407,2,1,1,1,19,4,3,0,0,0,0,0,3,1,3
2016010000408,2,1,1,2,42,7,2,0,0,0,0,0,1,1,5
2016010000411,1,1,1,1,48,8,3,0,0,0,0,0,3,1,3
2016010000413,2,1,1,1,33,6,3,0,0,0,0,0,3,1,4
2016010000414,2,1,1,1,49,8,3,0,0,0,0,0,5,1,8
2016010000416,1,1,3,2,48,8,2,1,1,0,0,2,0,1,3
2016010000417,1,1,1,1,26,6,3,0,0,0,0,0,9,1,5
2016010000417,3,2,1,1,29,6,3,0,0,0,0,0,9,1,4
2016010000418,2,1,1,1,34,6,3,0,0,0,0,0,4,1,2
2016010000419,2,1,1,2,18,4,3,0,0,0,0,0,1,1,7
2016010000420,1,1,1,1,32,6,3,0,0,0,0,0,2,1,2
2016010000422,2,1,1,2,29,6,3,0,0,0,0,0,9,1,4
2016010000423,1,1,1,1,36,7,3,0,0,0,0,0,2,1,1
2016010000424,1,1,2,2,72,10,3,0,0,0,3,0,11,1,7
2016010000425,1,1,2,2,49,8,3,0,0,0,3,0,11,1,1
